"OPE ID",School,State,"Zip Code","School Type",Recipients,"num originated","amt originated","num disbursed","amt disbursed"
149900,"EVEREST UNIVERSITY                                                    ",FL,328105601,Private-Nonprofit,3000,3129,9536771,3529,3981696
150000,"BROWARD COLLEGE                                                       ",FL,333012298,Public,4453,4483,16509859,4486,4237348
150100,"FLORIDA GATEWAY COLLEGE                                               ",FL,320252007,Public,108,109,403737,109,179814
150200,"LAKE SUMTER STATE COLLEGE                                             ",FL,347888751,Public,109,109,393665,109,204608
150400,"STATE COLLEGE OF FLORIDA, MANATEE-SARASOTA                            ",FL,342073596,Public,1458,1491,5502332,1491,2754297
150500,"LYNN UNIVERSITY                                                       ",FL,334315598,Private-Nonprofit,429,429,1808415,429,931834
150600,"MIAMI DADE COLLEGE                                                    ",FL,331322297,Public,1572,1572,6033043,1572,3020037
150900,"NOVA SOUTHEASTERN UNIVERSITY-DAVIE                                    ",FL,333147796,Private-Nonprofit,1818,1885,4334642,1885,4332253
151000,"NORTHWEST FLORIDA STATE COLLEGE                                       ",FL,325781295,Public,218,220,748682,220,373709
151200,"PALM BEACH STATE COLLEGE                                              ",FL,334614796,Public,1025,1025,3781347,1026,1894207
151300,"PENSACOLA STATE COLLEGE                                               ",FL,325048998,Public,301,301,1032944,301,490459
151400,"POLK STATE COLLEGE                                                    ",FL,338814256,Public,816,821,3135153,912,1664260
151500,"ROLLINS COLLEGE                                                       ",FL,327894499,Private-Nonprofit,925,953,4144642,953,2138049
151900,"SANTA FE COLLEGE                                                      ",FL,326066200,Public,2237,2237,8292644,2246,3486342
152000,"SEMINOLE STATE COLLEGE OF FLORIDA                                     ",FL,327736199,Public,2530,2533,9209188,2535,4618731
152100,"SOUTHEASTERN UNIVERSITY                                               ",FL,338016099,Private-Nonprofit,1202,1202,4977597,1203,2453238
152200,"SOUTH FLORIDA STATE COLLEGE                                           ",FL,338259399,Public,113,115,416388,116,199765
152300,"SAINT JOHNS RIVER STATE COLLEGE                                       ",FL,321773897,Public,750,758,2822623,925,1235643
152600,"SAINT LEO UNIVERSITY                                                  ",FL,335746665,Private-Nonprofit,2450,2463,10072024,2464,3550893
152800,"ST. PETERSBURG COLLEGE                                                ",FL,337603768,Public,7764,7783,30320676,7785,15050507
153100,"STETSON UNIVERSITY                                                    ",FL,327233761,Private-Nonprofit,1242,1245,5613813,1249,2820705
153300,"TALLAHASSEE COMMUNITY COLLEGE                                         ",FL,323042895,Public,2874,2912,10401542,2988,4108590
153500,"UNIVERSITY OF FLORIDA                                                 ",FL,326113150,Public,5935,6017,26388044,6017,13453740
153600,"UNIVERSITY OF MIAMI                                                   ",FL,331466531,Private-Nonprofit,2062,2103,8660304,2103,4340095
153700,"UNIVERSITY OF SOUTH FLORIDA                                           ",FL,336206960,Public,11085,11138,24696406,11141,24697955
153800,"UNIVERSITY OF TAMPA (THE)                                             ",FL,336061490,Private-Nonprofit,2521,2522,11149196,2524,5650626
154000,"WEBBER INTERNATIONAL UNIVERSITY                                       ",FL,338270096,Private-Nonprofit,660,660,2847886,661,1462477
154100,"ABRAHAM BALDWIN AGRICULTURAL COLLEGE                                  ",GA,317932601,Public,1100,1112,4185832,1112,2109808
154200,"AGNES SCOTT COLLEGE                                                   ",GA,300303770,Private-Nonprofit,433,433,1939568,433,976466
154300,"DARTON STATE COLLEGE                                                  ",GA,317073098,Public,2159,2169,8077772,2169,4041772
154400,"ALBANY STATE UNIVERSITY                                               ",GA,317052796,Public,1952,1959,8168388,1960,4079143
154500,"ANDREW COLLEGE                                                        ",GA,398401395,Private-Nonprofit,62,62,245080,62,122565
154600,"ARMSTRONG STATE UNIVERSITY                                            ",GA,314191997,Public,2680,2773,11056001,2774,5642809
154700,"POINT UNIVERSITY                                                      ",GA,318331200,Private-Nonprofit,574,576,2351281,576,1197881
155400,"BERRY COLLEGE                                                         ",GA,301495007,Private-Nonprofit,781,781,3330899,781,1684508
155500,"THOMAS UNIVERSITY                                                     ",GA,317927499,Private-Nonprofit,389,389,1768087,389,909203
155600,"BRENAU UNIVERSITY                                                     ",GA,305013668,Private-Nonprofit,682,683,2830889,689,1488395
155700,"BREWTON PARKER COLLEGE                                                ",GA,304450000,Private-Nonprofit,168,168,673168,168,338202
155800,"COLLEGE OF COASTAL GEORGIA                                            ",GA,315203644,Public,959,984,3736898,984,1872172
155900,"CLARK ATLANTA UNIVERSITY                                              ",GA,303144385,Private-Nonprofit,2062,2063,8424654,2068,4233705
156000,"COLUMBIA THEOLOGICAL SEMINARY                                         ",GA,300310520,Private-Nonprofit,0,0,0,0,0
156100,"COLUMBUS STATE UNIVERSITY                                             ",GA,319075645,Public,3231,3267,13724486,3269,7008691
156200,"GEORGIA PERIMETER COLLEGE                                             ",GA,300343832,Public,4237,4243,15320375,4245,7698505
156300,"EMMANUEL COLLEGE                                                      ",GA,306390000,Private-Nonprofit,391,391,1594642,393,684148
156400,"EMORY UNIVERSITY                                                      ",GA,303221960,Private-Nonprofit,2001,2033,8403582,2033,4255665
156600,"FORT VALLEY STATE UNIVERSITY                                          ",GA,310303298,Public,1753,1754,7204933,1767,3606720
156800,"INTERDENOMINATIONAL THEOLOGICAL CENTER                                ",GA,303144143,Private-Nonprofit,0,0,0,0,0
156900,"GEORGIA INSTITUTE OF TECHNOLOGY                                       ",GA,303320325,Public,3027,3086,11585532,3087,6899743
157100,"GEORGIA MILITARY COLLEGE                                              ",GA,310613398,Public,1485,1497,4612274,1726,1512986
157200,"GEORGIA SOUTHERN UNIVERSITY                                           ",GA,304608065,Public,8333,8933,35499001,8933,17849319
157300,"GEORGIA SOUTHWESTERN STATE UNIVERSITY                                 ",GA,317094693,Public,1078,1104,4377253,1104,2264356
157400,"GEORGIA STATE UNIVERSITY                                              ",GA,303033010,Public,11246,11304,48199327,11304,24374848
